Palabra clave de búsqueda
1 de abril de 2026 - 9 de abril de 2026
Palabra clave de búsqueda,Estado de las palabras clave de búsqueda,Motivos del estado de las palabras clave de búsqueda,Tipo de concordancia de palabra clave de búsqueda,Campaña,Grupo de anuncios,Código de moneda,CPC máximo de palabras clave,Clics,Impr.,CTR,CPC medio,Coste,% de impr. (parte sup. abs.),% de impr. (parte sup.),Conversiones,Conv. post-impresión,Coste/conv.,Tasa de conv.,CPM medio
ideapad lenovo,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
notebook i7,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
computador i7,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
pc core i5,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
i5 notebook,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
chromebook google,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
hp chromebook,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
impresora multifuncional,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
brother multifuncional,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
funda para laptop,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
teclados mecánicos,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
computadoras y laptops,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
estuche para laptop,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochila para pc,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juegos play,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
microfono gaming,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
control play 4,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
parlante jbl,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
equipos de audio,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
tienda ordenadores portatiles,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
computadora hp,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
monitores de pc,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
articulos de computadora,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
lunchera,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
cartucho impresora,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juegos play 4,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
camara logitech,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
disco hdd,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
computador i5,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
pantalla monitor,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
tarjeta de memoria,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
venta de cartuchos para impresora,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
canon impresora pixma,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
precio de monitores,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
parlante philips,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
cartuchos epson,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
memoria externa,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
comprar juegos ps4,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
ps4 ps4,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
control playstation,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
monitor de computadora,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
todos los juegos de ps4,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
bolso para pc,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
5 playstation,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
sobre notebook,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mouse inalambrico logitech,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
2tb disco duro,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
teclado de computadora,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
hojas de impresora,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
funda de computadora,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
soporte auriculares,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auriculares inalambricos jbl,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auriculares bluetooth jbl,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
airpods jbl,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auriculares headset,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
notebook ryzen,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
pantalla pc,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
ps5 sony,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
console playstation 5,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
lunchera infantil,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auriculares jbl,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
laptop portátil,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
cartera laptop,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
en laptop,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
notebooks ofertas argentina,En pausa,en pausa; campaña en pausa; desconocido,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
microfono microfono,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auriculares tws,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
impresora epson,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
parlantes bluethooth,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
playstation 4 uruguay,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auriculares buds,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
alfombra gamer,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
sony audífonos,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
cartuchos compatibles epson tx115,En pausa,en pausa; no suele publicarse; campaña en pausa; desconocido,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auriculares jbl inalambricos,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
ecotank impresora,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
microfono inalambrico,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juegos ps5,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
micrófono wireless,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auriculares de cable,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
go2 jbl,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
control ps5,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
tinta para impresión,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
insumo de impresora,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
ofertas play 5,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
play 5 uruguay,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
parlante jbl go 4,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
parlante sony srs xb13,En pausa,en pausa; campaña en pausa; desconocido,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
lunchera termina,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auriculares wave flex,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Tecnologia | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
barbie,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
puzzle,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
hot wheels,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
legos,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
monopoly,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes de madera,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
comprar juguetes,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
muñeca barbie,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juegos de mesa,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes madera,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes infantiles,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
peluches pokemon,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
venta de juguetes,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
tienda juguetes,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes online,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
catalogo de juguetes,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juegos de madera,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes nuevos,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguete para bebes,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes en oferta,En pausa,en pausa; grupo de anuncios en pausa; campaña en pausa; desconocido,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes para navidad,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes de niñas,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
accesorios de muñecas,En pausa,en pausa; grupo de anuncios en pausa; campaña en pausa; desconocido,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
accesorios para muñecas,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes para comprar,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
bloques de construccion,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
casas de muñecas para niñas,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes para varones,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes bebe 1 año,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
paw patrol,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
muñeca frozen,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes muñecas,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes para un año,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juegos y juguetes,En pausa,en pausa; grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
casa de muñecas precios,En pausa,en pausa; grupo de anuncios en pausa; campaña en pausa; desconocido,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
chicos juguetes,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes a pilas,En pausa,en pausa; grupo de anuncios en pausa; campaña en pausa; desconocido,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
animales peluches,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
casa de muñeca,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
casa de muñecas juguete,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
tienda de juguetes,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
figuras paw patrol,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
animales de juguetes,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
puzzle frozen,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
venta de muñecas,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
peluche para bebe,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguete para 1 año,En pausa,en pausa; grupo de anuncios en pausa; campaña en pausa; desconocido,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes por edades,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
muñecas baratas,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
muñecos grandes,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
distribuidora de juguetes,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juegos hasbro,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
jugueterias didacticas,En pausa,en pausa; grupo de anuncios en pausa; campaña en pausa; desconocido,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
tienda de juguetes baratos,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
